"Approved for Public Release; Distribution Unlimited. Case Number 17-3569. ©2018 The MITRE Corporation. All Rights Reserved
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Windows Command,Linux Command,"Cloud Cli (Google, AWS or Azure)",Cobalt Strike,Metasploit,Covenant,Sliver,Exploit Pack,Other Tools,Description,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Modify the registry to point the sethc.exe file to point to cmd.exe,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Remove the real sethc.exe and replace it with a copy of cmd.exe. You can also just move the original sethc.exe to a different file if you don't want to delete it,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Enable RDP via the registry and services,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Create a backdoor user account that often appears on windows systems and add that user to the local administrators group and the remote desktop users group. This combined with the sticky keys persistence grants an inocuous system level persistence mechanism.,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"If the support_388945a0 account already exists on the system, but is disabled, you can enable it and then add it to the necessary groups.",,,,,,,,,,,,,,,,,,,,,
Lat. Mov. and Execution:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This technique creates a new service on the remote machine. It's important to note the spaces after the = in these commands! Also, before starting the service, run the following commands to make sure everything is set up properly:
sc \\COMP qc acachsrv
dir \\COMP\ADMIN$\acachsrv.exe",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This technique creates a new service on the remote machine. It's important to note the spaces after the = in these commands! Also, before starting the service, run the following commands to make sure everything is set up properly:
sc \\COMP qc acachsrv
dir \\COMP\ADMIN$\acachsrv.exe",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
Command and Control,,,,,,,,,,"This technique creates a new service on the remote machine. It's important to note the spaces after the = in these commands! Also, before starting the service, run the following commands to make sure everything is set up properly:
sc \\COMP qc acachsrv
dir \\COMP\ADMIN$\acachsrv.exe",,,,,,,,,,,,,,,,,,,,,
